cycle,tenants,channel,tenant,t_utc,procs,heap_used_pre_mb,heap_live_mb,heap_committed_mb,meta_used_mb,meta_committed_mb,rss_mb,pss_mb,rss_postgc_mb,pss_postgc_mb,threads,fds,host_avail_mb,swap_used_mb,gc_ms,gc_passes,heap_settled
-1,1,sb,swing:pkjtbp,2026-09-10T23:24:54Z,1,210.5,,246.0,103.2,104.2,495.3,488.4,495.4,488.5,203,274,28285.3,0.0,0,0,
-1,2,sb,swing:wewzel,2026-09-10T23:25:15Z,1,256.1,,348.0,118.1,119.1,641.9,634.9,641.9,634.9,279,285,28117.4,0.0,0,0,
-1,3,sb,swing:x570c8,2026-09-10T23:25:37Z,1,499.2,,702.0,132.2,133.3,1043.1,1036.2,1043.1,1036.2,361,292,27651.3,0.0,0,0,
-1,4,sb,swing:8hnrg0,2026-09-10T23:25:58Z,1,538.6,,726.0,146.3,147.4,1100.8,1093.9,1100.7,1093.8,449,299,27481.0,0.0,0,0,
-1,5,sb,swing:nbcsd3,2026-09-10T23:26:19Z,1,387.3,,742.0,160.5,161.7,1146.4,1139.4,1146.9,1140.0,501,306,27157.2,0.0,0,0,
-1,6,sb,swing:0l0uq8,2026-09-10T23:26:40Z,1,749.3,,794.0,174.6,175.9,1226.2,1219.3,1226.2,1219.2,533,313,26823.2,0.0,0,0,
-1,7,sb,swing:pv69wn,2026-09-10T23:27:01Z,1,616.2,,840.0,188.7,190.1,1297.6,1290.7,1297.6,1290.7,567,320,25364.4,0.0,0,0,
-1,8,sb,swing:0gzizm,2026-09-10T23:27:23Z,1,842.5,,938.0,202.9,204.2,1424.9,1418.0,1424.9,1418.0,599,327,25627.4,0.0,0,0,
-1,9,sb,swing:yfn3a9,2026-09-10T23:27:44Z,1,749.2,,1008.0,217.0,218.4,1520.1,1513.2,1520.2,1513.3,631,334,25983.7,0.0,0,0,
-1,10,sb,swing:wm5msl,2026-09-10T23:28:05Z,1,764.0,,1130.0,231.1,232.6,1669.5,1662.5,1669.5,1662.5,662,341,25798.0,0.0,0,0,
-1,11,sb,swing:i4z6y6,2026-09-10T23:28:27Z,1,769.4,,1230.0,245.3,246.8,1798.2,1791.3,1798.2,1791.3,695,348,25594.2,0.0,0,0,
-1,12,sb,swing:7r81i7,2026-09-10T23:28:48Z,1,985.1,,1310.0,259.4,261.0,1903.2,1896.3,1903.2,1896.3,728,355,24936.2,0.0,0,0,
-1,13,sb,swing:v9ssit,2026-09-10T23:29:10Z,1,898.4,,1418.0,273.5,275.1,2041.9,2034.9,2041.9,2034.9,761,362,23983.1,0.0,0,0,
-1,14,sb,swing:n7bs8g,2026-09-10T23:29:31Z,1,997.4,,1494.0,287.6,289.4,2146.7,2139.8,2146.7,2139.8,792,369,25378.4,0.0,0,0,
-1,15,sb,swing:y8e4rj,2026-09-10T23:29:53Z,1,1030.1,,1628.0,301.8,303.6,2314.1,2307.2,2314.1,2307.2,832,376,23881.0,0.0,0,0,
-1,16,sb,swing:l1v0ov,2026-09-10T23:30:15Z,1,1043.6,,1698.0,315.9,317.7,2409.6,2402.6,2409.6,2402.6,865,383,24590.9,0.0,0,0,
-1,17,sb,swing:ct9nz0,2026-09-10T23:30:38Z,1,1104.4,,1794.0,330.0,331.8,2530.4,2523.4,2530.4,2523.4,894,390,24974.0,0.0,0,0,
-1,18,sb,swing:3ky1yl,2026-09-10T23:31:00Z,1,1408.3,,1904.0,344.1,346.1,2670.9,2664.0,2670.9,2664.0,930,397,25112.5,0.0,0,0,
-1,19,sb,swing:v49bsf,2026-09-10T23:31:22Z,1,1234.9,,2000.0,358.3,360.2,2791.9,2784.9,2791.9,2784.9,961,404,24912.9,0.0,0,0,
-1,20,sb,swing:o30v7b,2026-09-10T23:31:44Z,1,1749.3,,2098.0,372.4,374.4,2914.9,2908.0,2914.9,2908.0,996,411,24766.2,0.0,0,0,
-1,21,sb,swing:77a8jx,2026-09-10T23:32:07Z,1,1927.4,,2200.0,386.5,388.6,3041.3,3034.3,3041.3,3034.3,1029,418,24386.6,0.0,0,0,
-1,22,sb,swing:c6pr38,2026-09-10T23:32:30Z,1,2063.7,,2294.0,400.6,402.8,3160.9,3153.9,3160.9,3153.9,1061,425,23505.8,0.0,0,0,
-1,23,sb,swing:bqgwah,2026-09-10T23:32:52Z,1,1514.9,,2390.0,414.8,417.0,3284.9,3278.0,3284.9,3278.0,1091,432,24288.4,0.0,0,0,
-1,24,sb,swing:bfv0bs,2026-09-10T23:33:15Z,1,1526.9,,2484.0,428.9,431.1,3406.3,3399.4,3406.3,3399.4,1122,439,23298.5,0.0,0,0,
-1,25,sb,swing:s7lpcn,2026-09-10T23:33:37Z,1,1612.4,,2578.0,443.0,445.3,3529.1,3522.2,3529.1,3522.2,1150,446,23764.1,0.0,0,0,
-1,26,sb,swing:nqttc8,2026-09-10T23:34:00Z,1,2145.9,,2626.0,457.2,459.5,3598.6,3591.7,3598.6,3591.7,1182,453,23968.8,0.0,0,0,
-1,27,sb,swing:5mehdf,2026-09-10T23:34:24Z,1,2128.8,,2626.0,471.3,473.7,3618.9,3611.9,3618.9,3611.9,1215,460,23814.6,0.0,0,0,
-1,28,sb,swing:a5cics,2026-09-10T23:34:49Z,1,2129.4,,2626.0,485.4,487.9,3638.6,3631.7,3638.7,3631.7,1249,467,23147.9,0.0,0,0,
-1,29,sb,swing:9flac4,2026-09-10T23:35:14Z,1,2346.1,,2626.0,499.5,502.1,3658.0,3651.1,3658.0,3651.1,1281,473,23709.5,0.0,0,0,
-1,30,sb,swing:k7mad7,2026-09-10T23:35:40Z,1,2338.3,,2626.0,513.7,516.2,3678.0,3671.0,3678.0,3671.0,1313,481,23768.6,0.0,0,0,
-1,31,sb,swing:i202qc,2026-09-10T23:36:06Z,1,1939.7,,2626.0,527.8,530.4,3697.8,3690.9,3697.8,3690.9,1347,488,23805.8,0.0,0,0,
-1,32,sb,swing:iionn6,2026-09-10T23:36:33Z,1,2340.2,,2626.0,541.6,544.1,3718.2,3711.3,3718.2,3711.3,1380,495,23421.6,0.0,0,0,
