t_utc,elapsed_s,tenants,cg_mem_mb,cg_mem_max_mb,cg_mem_pct,cg_oom_kills,cg_swap_mb,load1,cpu_pct,runq,cg_cpu_s,cg_throttled_s,tx_mbps,rx_mbps,sendq_kb,sendq_max_kb,estab_conns,threads,pids,cg_pids_max,peer_load1,peer_cpu_pct,peer_mem_avail_mb,host_avail_mb,host_swap_mb,tcp_retrans_d,tcp_outsegs_d
2026-09-10T12:03:27Z,5,0,301.7,4096,7.4,0,0.0,7.26,0.4,1,4.6,0.0,0.07,0.06,0,0,0,69,69,33988,1.77,,106307,28552,0,0,147
2026-09-10T12:03:32Z,10,0,486.1,4096,11.9,0,0.0,6.15,3.0,1,9.2,0.0,16.05,0.08,0,0,7,161,161,33988,1.62,,106812,28373,0,0,7289
2026-09-10T12:03:37Z,15,0,492.1,4096,12.0,0,0.0,5.65,0.6,1,9.9,0.0,0.92,0.03,0,0,7,172,172,33988,1.57,,106808,28371,0,0,467
2026-09-10T12:03:42Z,21,0,495.3,4096,12.1,0,0.0,5.20,0.7,1,10.7,0.0,1.15,0.05,0,0,7,190,190,33988,1.45,,106784,28368,0,0,612
2026-09-10T12:03:47Z,26,0,497.9,4096,12.2,0,0.0,4.78,0.7,1,11.4,0.0,1.35,0.04,0,0,7,198,198,33988,1.33,,106766,28374,0,0,678
2026-09-10T12:03:53Z,31,1,589.7,4096,14.4,0,0.0,4.40,2.9,1,15.6,0.0,16.94,0.12,0,0,14,255,255,33988,1.30,,106480,28269,0,0,7775
2026-09-10T12:03:58Z,36,1,593.4,4096,14.5,0,0.0,4.21,1.0,1,16.9,0.0,2.23,0.08,0,0,14,263,263,33988,1.20,,106451,28262,0,0,1133
2026-09-10T12:04:03Z,42,1,595.2,4096,14.5,0,0.0,3.87,1.1,2,18.1,0.0,1.93,0.09,0,0,14,273,273,33988,1.10,,106310,28249,0,0,1015
2026-09-10T12:04:08Z,47,1,597.6,4096,14.6,0,0.0,3.56,0.9,1,19.2,0.0,2.31,0.07,0,0,14,275,275,33988,1.01,,106196,28234,0,0,1165
2026-09-10T12:04:14Z,52,2,725.1,4096,17.7,0,0.0,3.44,3.5,1,24.2,0.0,18.05,0.18,0,0,20,339,339,33988,1.01,,105815,28091,0,0,8343
2026-09-10T12:04:19Z,57,2,731.9,4096,17.9,0,0.0,3.24,1.5,1,26.2,0.0,3.96,0.14,0,0,20,346,346,33988,1.01,,105684,28077,0,0,2029
2026-09-10T12:04:24Z,62,2,734.1,4096,17.9,0,0.0,2.98,1.4,1,27.9,0.0,2.98,0.12,0,0,20,354,355,33988,1.01,,105536,28064,0,0,1533
2026-09-10T12:04:29Z,68,2,735.1,4096,17.9,0,0.0,2.74,1.5,2,29.7,0.0,3.42,0.12,0,0,16,362,362,33988,1.17,,105378,28036,0,0,1737
2026-09-10T12:04:34Z,73,3,864.7,4096,21.1,0,0.0,2.52,3.7,1,35.3,0.0,19.66,0.21,0,0,22,419,419,33988,1.08,,104860,27893,0,0,9112
2026-09-10T12:04:40Z,78,3,868.1,4096,21.2,0,0.0,3.52,1.8,2,37.5,0.0,4.50,0.17,0,0,22,419,419,33988,0.99,,104666,27811,0,0,2267
2026-09-10T12:04:45Z,83,3,870.1,4096,21.2,0,0.0,3.32,1.7,3,39.7,0.0,4.18,0.17,0,0,22,434,434,33988,0.91,,104534,27747,0,0,2127
2026-09-10T12:04:50Z,89,3,871.0,4096,21.3,0,0.0,3.05,1.9,1,42.2,0.0,5.16,0.18,0,0,18,440,440,33988,0.84,,104329,27723,0,0,2610
2026-09-10T12:04:55Z,94,4,996.9,4096,24.3,0,0.0,2.89,4.1,2,48.1,0.0,20.40,0.26,0,0,24,498,498,33988,0.77,,103889,27654,0,0,9586
2026-09-10T12:05:01Z,99,4,999.1,4096,24.4,0,0.0,2.82,2.1,4,50.9,0.0,5.86,0.20,0,0,24,502,503,33988,0.71,,103695,27578,0,0,2936
2026-09-10T12:05:06Z,104,4,1001.0,4096,24.4,0,0.0,2.59,2.2,1,53.7,0.0,5.68,0.20,0,0,24,502,502,33988,0.65,,103533,27537,0,0,2856
2026-09-10T12:05:11Z,109,4,1001.7,4096,24.5,0,0.0,2.46,2.3,2,56.7,0.0,6.03,0.21,8,8,20,502,502,33988,0.76,,103415,27473,0,0,3034
2026-09-10T12:05:16Z,115,5,1113.4,4096,27.2,0,0.0,2.43,4.5,2,63.0,0.0,21.52,0.26,0,0,26,546,548,33988,1.44,,103006,27252,0,0,10026
2026-09-10T12:05:21Z,120,5,1162.0,4096,28.4,0,0.0,2.23,2.6,2,66.4,0.0,6.82,0.23,0,0,26,543,543,33988,1.32,,102813,27069,0,0,3420
2026-09-10T12:05:27Z,125,5,1164.4,4096,28.4,0,0.0,2.29,3.0,2,70.2,0.0,7.96,0.27,0,0,26,534,534,33988,1.22,,102633,26834,0,0,3983
2026-09-10T12:05:32Z,130,5,1164.5,4096,28.4,0,0.0,2.01,2.7,1,73.4,0.0,6.87,0.25,0,0,24,533,533,33988,1.12,,102487,26978,0,0,3488
2026-09-10T12:05:37Z,135,6,1198.2,4096,29.3,0,0.0,2.41,4.8,2,79.8,0.0,22.68,0.34,0,0,28,555,555,33988,1.03,,102233,26785,0,0,10781
2026-09-10T12:05:42Z,141,6,1288.6,4096,31.5,0,0.0,2.30,3.6,1,84.5,0.0,8.32,0.27,0,0,28,569,569,33988,0.95,,101973,26443,0,0,4145
2026-09-10T12:05:47Z,146,6,1289.9,4096,31.5,0,0.0,2.12,3.6,3,88.9,0.0,9.44,0.31,0,0,28,567,567,33988,0.87,,101774,26062,0,0,4692
2026-09-10T12:05:53Z,151,6,1290.9,4096,31.5,0,0.0,2.11,3.0,1,92.6,0.0,8.37,0.26,0,0,28,568,568,33988,0.80,,101673,25750,0,0,4159
2026-09-10T12:05:58Z,156,7,1324.9,4096,32.3,0,0.0,1.94,4.8,2,98.7,0.0,24.56,0.39,0,0,30,587,587,33988,0.90,,101277,25243,0,0,11536
2026-09-10T12:06:03Z,161,7,1422.2,4096,34.7,0,0.0,1.78,5.0,1,104.9,0.0,9.73,0.34,19,19,30,607,607,33988,0.82,,101109,26835,0,0,5027
2026-09-10T12:06:08Z,167,7,1424.1,4096,34.8,0,0.0,1.64,3.8,4,109.4,0.0,9.90,0.35,0,0,30,601,601,33988,0.76,,100918,26400,0,0,4947
2026-09-10T12:06:14Z,172,7,1423.9,4096,34.8,0,0.0,1.67,3.5,3,113.7,0.0,10.40,0.32,0,0,30,600,600,33988,0.70,,100753,26027,0,0,5169
2026-09-10T12:06:19Z,177,8,1435.8,4096,35.1,0,0.0,1.61,4.5,3,119.0,0.0,26.13,0.43,0,0,32,610,610,33988,0.64,,100367,25392,0,0,12316
2026-09-10T12:06:24Z,182,8,1522.4,4096,37.2,0,0.0,1.81,5.8,3,127.4,0.0,10.95,0.33,0,0,32,641,641,33988,0.59,,100114,24858,0,0,5420
2026-09-10T12:06:29Z,188,8,1523.5,4096,37.2,0,0.0,1.66,4.7,2,132.5,0.0,11.69,0.42,0,0,32,639,639,33988,0.54,,100024,26447,0,0,5990
2026-09-10T12:06:34Z,193,8,1525.8,4096,37.2,0,0.0,1.69,4.0,1,137.7,0.0,11.76,0.36,0,0,32,635,635,33988,0.50,,99891,26084,0,0,5815
2026-09-10T12:06:40Z,198,9,1528.1,4096,37.3,0,0.0,1.63,4.0,10,142.1,0.0,26.53,0.44,0,0,34,640,638,33988,1.18,,99506,25449,0,0,12504
2026-09-10T12:06:45Z,203,9,1679.4,4096,41.0,0,0.0,1.66,6.5,19,151.1,0.0,12.50,0.37,0,0,34,669,669,33988,1.25,,99282,24708,0,0,6177
2026-09-10T12:06:50Z,208,9,1681.1,4096,41.0,0,0.0,1.69,5.2,2,157.2,0.0,13.49,0.46,0,0,34,667,667,33988,1.31,,99120,26405,0,0,6864
2026-09-10T12:06:55Z,214,9,1681.2,4096,41.0,0,0.0,1.55,4.4,2,162.8,0.0,13.13,0.41,0,0,32,665,665,33988,1.20,,98989,25891,0,0,6479
2026-09-10T12:07:00Z,219,10,1682.5,4096,41.1,0,0.0,1.51,4.2,1,167.4,0.0,12.04,0.40,0,0,29,667,667,33988,1.18,,98721,25188,0,0,6028
2026-09-10T12:07:06Z,224,10,1780.4,4096,43.5,0,0.0,1.63,7.5,1,178.2,0.0,29.56,0.49,0,0,36,711,711,33988,1.89,,98445,26312,0,0,13986
2026-09-10T12:07:11Z,229,10,1781.3,4096,43.5,0,0.0,1.50,5.6,2,184.8,0.0,14.66,0.50,0,0,36,707,707,33988,1.74,,98233,26153,0,0,7440
2026-09-10T12:07:16Z,234,10,1782.4,4096,43.5,0,0.0,1.46,4.8,2,190.7,0.0,14.11,0.45,0,0,36,702,702,33988,1.60,,98099,25558,0,0,6978
2026-09-10T12:07:21Z,240,11,1783.4,4096,43.5,0,0.0,1.50,4.6,3,196.4,0.0,15.34,0.46,0,0,31,701,701,33988,1.35,,97992,24832,0,0,7573
2026-09-10T12:07:26Z,245,11,1909.4,4096,46.6,0,0.0,1.54,9.2,4,208.5,0.0,30.74,0.58,0,0,38,743,743,33988,1.24,,97623,26164,0,4,14698
2026-09-10T12:07:32Z,250,11,1911.2,4096,46.7,0,0.0,1.42,5.8,2,216.1,0.0,16.02,0.50,0,0,38,740,740,33988,1.46,,97409,25674,0,0,7900
2026-09-10T12:07:37Z,255,11,1913.2,4096,46.7,0,0.0,1.50,4.9,7,222.0,0.0,15.95,0.49,0,0,38,736,736,33988,1.35,,97236,24869,0,0,7875
2026-09-10T12:07:42Z,260,11,1913.9,4096,46.7,0,0.0,1.46,6.0,2,229.2,0.0,17.23,0.56,0,0,33,735,735,33988,1.24,,97100,26166,0,0,8700
2026-09-10T12:07:47Z,266,12,2055.5,4096,50.2,0,0.0,1.66,10.4,2,244.1,0.0,32.18,0.58,0,0,40,777,777,33988,1.30,,96656,25492,0,0,15248
2026-09-10T12:07:53Z,271,12,2056.2,4096,50.2,0,0.0,1.69,5.7,2,251.4,0.0,17.04,0.53,0,0,40,775,775,33988,1.20,,96479,24664,0,0,8399
2026-09-10T12:07:58Z,276,12,2058.0,4096,50.2,0,0.0,1.64,6.3,3,258.7,0.0,17.10,0.59,0,0,40,769,769,33988,1.10,,96367,25927,0,0,8646
2026-09-10T12:08:03Z,281,12,2058.8,4096,50.3,0,0.0,1.67,5.6,3,265.7,0.0,18.33,0.57,0,0,36,769,769,33988,1.25,,96209,25368,0,0,9065
2026-09-10T12:08:08Z,287,13,2180.6,4096,53.2,0,0.0,1.77,10.0,2,279.8,0.0,32.12,0.57,0,0,42,810,810,33988,1.15,,95818,24550,0,0,15207
2026-09-10T12:08:13Z,292,13,2183.0,4096,53.3,0,0.0,1.95,7.0,4,288.3,0.0,19.78,0.63,0,0,42,807,807,33988,1.22,,95665,25765,0,0,9937
2026-09-10T12:08:19Z,297,13,2184.2,4096,53.3,0,0.0,1.79,6.2,2,296.1,0.0,18.81,0.58,0,0,42,804,804,33988,1.28,,95474,25143,0,0,9273
2026-09-10T12:08:24Z,302,13,2184.1,4096,53.3,0,0.0,1.89,5.9,4,303.5,0.0,18.92,0.56,0,0,38,800,800,33988,1.26,,95352,24227,0,0,9346
2026-09-10T12:08:29Z,307,14,2262.5,4096,55.2,0,0.0,1.82,10.8,3,317.8,0.0,35.41,0.70,0,0,44,817,817,33988,1.16,,94953,25539,0,0,17011
2026-09-10T12:08:34Z,313,14,2336.0,4096,57.0,0,0.0,1.91,8.0,2,328.9,0.0,21.45,0.64,0,0,44,842,842,33988,1.07,,94665,24726,0,0,10565
2026-09-10T12:08:39Z,318,14,2337.6,4096,57.1,0,0.0,2.00,6.6,5,336.7,0.0,21.43,0.64,0,0,43,839,839,33988,0.98,,94526,25723,0,0,10721
2026-09-10T12:08:45Z,323,14,2338.8,4096,57.1,0,0.0,1.92,6.4,4,344.9,0.0,20.32,0.62,9,9,40,839,839,33988,0.98,,94435,25062,0,0,10031
2026-09-10T12:08:50Z,328,15,2350.2,4096,57.4,0,0.0,2.09,7.8,16,354.8,0.0,36.54,0.70,0,0,46,843,843,33988,1.78,,94016,24134,0,0,17366
