cycle,tenants,channel,tenant,t_utc,procs,heap_used_pre_mb,heap_live_mb,heap_committed_mb,meta_used_mb,meta_committed_mb,rss_mb,pss_mb,rss_postgc_mb,pss_postgc_mb,threads,fds,host_avail_mb,swap_used_mb,gc_ms,gc_passes,heap_settled
-1,1,sb,swing:ibiyxm,2026-09-11T08:36:54Z,1,143.2,,234.0,99.1,100.0,476.6,469.6,476.6,469.6,201,274,28923.7,0.0,0,0,
-1,2,sb,swing:h7tjhn,2026-09-11T08:37:15Z,1,282.6,,374.0,113.3,114.3,658.6,651.8,658.7,651.7,282,285,28709.1,0.0,0,0,
-1,3,sb,swing:kmzaw7,2026-09-11T08:37:36Z,1,286.9,,440.0,127.5,128.6,763.8,756.9,763.9,757.0,367,292,28510.9,0.0,0,0,
-1,4,sb,swing:6q7oty,2026-09-11T08:37:57Z,1,487.3,,548.0,141.6,142.8,906.9,899.9,906.9,900.1,451,300,28284.6,0.0,0,0,
-1,5,sb,swing:og87uj,2026-09-11T08:38:18Z,1,529.4,,614.0,155.7,156.9,1004.1,997.2,1004.1,997.2,502,306,27914.4,0.0,0,0,
-1,6,sb,swing:pscwvg,2026-09-11T08:38:40Z,1,545.4,,740.0,169.9,171.1,1160.7,1153.8,1160.6,1153.7,534,313,27497.5,0.0,0,0,
-1,7,sb,swing:y294a6,2026-09-11T08:39:01Z,1,712.4,,840.0,184.0,185.3,1287.8,1280.9,1287.8,1280.9,568,320,26011.8,0.0,0,0,
-1,8,sb,swing:juojrg,2026-09-11T08:39:22Z,1,868.0,,928.0,198.1,199.5,1403.8,1396.9,1403.8,1396.9,599,327,26302.3,0.0,0,0,
-1,9,sb,swing:r295ra,2026-09-11T08:39:43Z,1,655.1,,1038.0,212.2,213.8,1543.8,1536.9,1543.8,1536.9,634,334,26694.8,0.0,0,0,
-1,10,sb,swing:tobjzc,2026-09-11T08:40:05Z,1,702.2,,1130.0,226.4,227.9,1664.9,1658.0,1664.9,1658.0,668,341,26488.5,0.0,0,0,
-1,11,sb,swing:5ks2hv,2026-09-11T08:40:26Z,1,852.8,,1214.0,240.5,242.1,1781.8,1774.8,1781.8,1774.8,700,348,26229.2,0.0,0,0,
-1,12,sb,swing:09bsa4,2026-09-11T08:40:47Z,1,811.2,,1318.0,254.6,256.4,1912.4,1905.5,1912.4,1905.5,737,355,25683.6,0.0,0,0,
-1,13,sb,swing:e6rqn6,2026-09-11T08:41:09Z,1,970.2,,1398.0,268.8,270.5,2018.8,2011.9,2018.8,2011.9,770,362,24728.5,0.0,0,0,
-1,14,sb,swing:kii0di,2026-09-11T08:41:31Z,1,942.8,,1504.0,282.9,284.7,2153.7,2146.8,2153.7,2146.8,801,369,26106.7,0.0,0,0,
-1,15,sb,swing:xvqvt5,2026-09-11T08:41:52Z,1,1316.9,,1624.0,297.0,298.9,2305.1,2298.2,2305.1,2298.2,842,376,24788.8,0.0,0,0,
