t_utc,elapsed_s,tenants,cg_mem_mb,cg_mem_max_mb,cg_mem_pct,cg_oom_kills,cg_swap_mb,load1,cpu_pct,runq,cg_cpu_s,cg_throttled_s,tx_mbps,rx_mbps,sendq_kb,sendq_max_kb,estab_conns,threads,pids,cg_pids_max,peer_load1,peer_cpu_pct,peer_mem_avail_mb,host_avail_mb,host_swap_mb,tcp_retrans_d,tcp_outsegs_d
2026-09-11T09:13:08Z,5,0,466.8,4096,11.4,0,0.0,0.44,0.5,1,5.5,0.0,0.07,0.06,0,0,0,70,70,33988,0.01,,106834,28990,0,0,147
2026-09-11T09:13:13Z,10,0,618.9,4096,15.1,0,0.0,0.41,3.1,1,10.4,0.0,16.04,0.10,0,0,7,160,160,33988,0.49,,107005,28885,0,0,7292
2026-09-11T09:13:18Z,15,0,622.5,4096,15.2,0,0.0,0.38,0.7,1,11.1,0.0,0.92,0.03,0,0,7,167,167,33988,1.58,,107027,28887,0,0,473
2026-09-11T09:13:24Z,21,0,627.1,4096,15.3,0,0.0,0.35,0.8,1,11.9,0.0,0.96,0.06,0,0,7,190,190,33988,1.69,,107004,28882,0,1,519
2026-09-11T09:13:29Z,26,0,628.7,4096,15.4,0,0.0,0.32,0.7,2,12.6,0.0,1.33,0.04,0,0,7,201,201,33988,1.43,,106952,28883,0,0,660
2026-09-11T09:13:34Z,31,1,723.7,4096,17.7,0,0.0,0.69,2.9,1,16.8,0.0,16.86,0.12,0,0,14,254,254,33988,1.39,,106585,28772,0,0,7725
2026-09-11T09:13:39Z,36,1,728.1,4096,17.8,0,0.0,0.64,1.1,1,18.1,0.0,2.16,0.07,0,0,14,260,260,33988,1.28,,106486,28755,0,0,1084
2026-09-11T09:13:44Z,42,1,733.9,4096,17.9,0,0.0,0.59,1.1,1,19.4,0.0,1.96,0.10,0,0,14,268,268,33988,1.18,,106350,28737,0,0,1025
2026-09-11T09:13:50Z,47,1,733.9,4096,17.9,0,0.0,0.54,1.0,2,20.6,0.0,2.45,0.08,0,0,14,271,271,33988,1.09,,106248,28732,0,0,1229
2026-09-11T09:13:55Z,52,2,864.0,4096,21.1,0,0.0,0.49,3.5,1,25.7,0.0,18.27,0.18,0,0,20,332,332,33988,1.24,,105805,28601,0,0,8475
2026-09-11T09:14:00Z,57,2,872.2,4096,21.3,0,0.0,0.45,1.5,1,27.7,0.0,3.84,0.12,0,0,20,342,342,33988,1.14,,105669,28583,0,0,1928
2026-09-11T09:14:05Z,62,2,874.8,4096,21.4,0,0.0,0.42,1.4,2,29.4,0.0,2.60,0.11,0,0,20,354,354,33988,1.05,,105541,28560,0,0,1346
2026-09-11T09:14:11Z,68,2,876.2,4096,21.4,0,0.0,0.38,1.5,2,31.3,0.0,3.82,0.13,0,0,16,363,363,33988,1.04,,105426,28534,0,0,1935
2026-09-11T09:14:16Z,73,3,1009.3,4096,24.6,0,0.0,0.35,4.1,1,37.1,0.0,19.20,0.20,0,0,22,422,423,33988,0.96,,104964,28398,0,0,8884
2026-09-11T09:14:21Z,78,3,1014.1,4096,24.8,0,0.0,0.32,1.9,3,39.6,0.0,4.74,0.17,0,0,22,427,427,33988,0.88,,104792,28327,0,0,2396
2026-09-11T09:14:26Z,83,3,1018.3,4096,24.9,0,0.0,0.30,1.8,2,42.0,0.0,4.28,0.15,0,0,22,446,446,33988,0.97,,104648,28268,0,0,2157
2026-09-11T09:14:31Z,89,3,1018.8,4096,24.9,0,0.0,0.27,2.1,2,44.7,0.0,5.24,0.18,0,0,22,447,447,33988,0.89,,104414,28232,0,0,2653
2026-09-11T09:14:37Z,94,4,1146.0,4096,28.0,0,0.0,0.25,4.5,1,51.2,0.0,20.86,0.26,0,0,24,506,506,33988,0.82,,104002,28147,0,0,9803
2026-09-11T09:14:42Z,99,4,1149.8,4096,28.1,0,0.0,0.21,2.3,3,54.1,0.0,5.76,0.19,0,0,24,506,506,33988,0.76,,103778,28049,0,0,2900
2026-09-11T09:14:47Z,104,4,1150.1,4096,28.1,0,0.0,0.20,2.3,1,57.1,0.0,5.52,0.20,0,0,24,503,503,33988,0.70,,103617,28015,0,0,2777
2026-09-11T09:14:52Z,109,4,1152.9,4096,28.1,0,0.0,0.18,2.5,1,60.3,0.0,6.46,0.21,0,0,24,504,504,33988,0.64,,103486,27951,0,0,3227
2026-09-11T09:14:57Z,115,5,1266.9,4096,30.9,0,0.0,0.33,4.9,5,67.2,0.0,21.23,0.27,0,0,26,550,549,33988,0.59,,103071,27768,0,0,9899
2026-09-11T09:15:03Z,120,5,1290.0,4096,31.5,0,0.0,0.30,2.8,1,70.7,0.0,7.28,0.23,0,0,26,542,542,33988,0.54,,102878,27583,0,0,3637
2026-09-11T09:15:08Z,125,5,1289.8,4096,31.5,0,0.0,0.36,3.1,2,74.4,0.0,7.56,0.26,0,0,26,536,536,33988,0.50,,102729,27462,0,0,3804
2026-09-11T09:15:13Z,130,5,1290.8,4096,31.5,0,0.0,0.41,2.9,1,78.1,0.0,7.21,0.24,0,0,26,534,534,33988,1.10,,102624,27390,0,0,3631
2026-09-11T09:15:18Z,135,6,1326.4,4096,32.4,0,0.0,0.45,5.0,12,84.5,0.0,22.43,0.34,0,0,28,556,555,33988,1.01,,102312,27271,0,0,10677
2026-09-11T09:15:23Z,141,6,1411.5,4096,34.5,0,0.0,0.50,3.7,3,89.3,0.0,8.60,0.26,0,0,28,569,569,33988,1.01,,102077,26958,0,0,4273
2026-09-11T09:15:29Z,146,6,1412.6,4096,34.5,0,0.0,0.46,3.7,1,93.9,0.0,9.46,0.32,0,0,28,568,568,33988,0.93,,101882,26583,0,0,4706
2026-09-11T09:15:34Z,151,6,1414.1,4096,34.5,0,0.0,0.42,3.2,2,97.8,0.0,7.62,0.26,16,16,27,568,568,33988,0.79,,101763,26282,0,0,3810
2026-09-11T09:15:39Z,156,7,1460.7,4096,35.7,0,0.0,0.39,5.4,2,104.7,0.0,24.28,0.37,0,0,30,587,587,33988,0.80,,101423,25782,0,0,11414
