t_utc,elapsed_s,tenants,cg_mem_mb,cg_mem_max_mb,cg_mem_pct,cg_oom_kills,cg_swap_mb,load1,cpu_pct,runq,cg_cpu_s,cg_throttled_s,tx_mbps,rx_mbps,sendq_kb,sendq_max_kb,estab_conns,threads,pids,cg_pids_max,peer_load1,peer_cpu_pct,peer_mem_avail_mb,host_avail_mb,host_swap_mb,tcp_retrans_d,tcp_outsegs_d
2026-09-11T10:49:26Z,5,0,396.9,4096,9.7,0,0.0,0.15,0.4,1,4.7,0.0,0.08,0.06,0,0,0,70,70,33988,0.46,,107609,27822,0,0,158
2026-09-11T10:49:31Z,10,0,607.1,4096,14.8,0,0.0,0.38,3.1,1,9.5,0.0,16.05,0.08,0,0,7,166,166,33988,0.42,,106985,27644,0,0,7298
2026-09-11T10:49:37Z,15,0,611.8,4096,14.9,0,0.0,0.35,0.6,1,10.2,0.0,1.00,0.04,0,0,7,172,172,33988,0.39,,106920,27641,0,0,517
2026-09-11T10:49:42Z,21,0,615.4,4096,15.0,0,0.0,0.32,0.8,1,11.0,0.0,1.02,0.07,0,0,7,189,189,33988,0.36,,106886,27638,0,0,559
2026-09-11T10:49:47Z,26,0,618.8,4096,15.1,0,0.0,0.29,0.7,3,11.7,0.0,1.33,0.05,0,0,7,199,199,33988,0.33,,106902,27639,0,0,681
2026-09-11T10:49:52Z,31,1,708.9,4096,17.3,0,0.0,0.35,2.9,1,15.9,0.0,16.83,0.13,0,0,14,254,254,33988,0.30,,106563,27532,0,0,7727
2026-09-11T10:49:58Z,36,1,713.3,4096,17.4,0,0.0,0.48,1.0,3,17.2,0.0,2.25,0.08,0,0,14,262,262,33988,0.28,,106553,27532,0,0,1134
2026-09-11T10:50:03Z,42,1,716.3,4096,17.5,0,0.0,0.44,1.1,2,18.6,0.0,2.04,0.10,0,0,14,276,276,33988,0.41,,106412,27530,0,0,1076
2026-09-11T10:50:08Z,47,1,718.9,4096,17.6,0,0.0,0.37,1.1,1,20.0,0.0,2.86,0.09,0,0,14,280,280,33988,0.38,,106266,27527,0,0,1448
2026-09-11T10:50:13Z,52,2,863.8,4096,21.1,0,0.0,0.34,4.1,3,25.2,0.0,17.96,0.17,0,0,20,338,338,33988,0.43,,105837,27977,0,2,8296
2026-09-11T10:50:18Z,57,2,874.3,4096,21.3,0,0.0,0.32,1.9,1,27.4,0.0,3.94,0.17,0,0,20,347,347,33988,0.40,,105620,28264,0,0,2029
2026-09-11T10:50:24Z,62,2,876.5,4096,21.4,0,0.0,0.29,1.4,1,29.3,0.0,3.27,0.13,0,0,20,359,359,33988,0.36,,105423,28270,0,0,1667
2026-09-11T10:50:29Z,68,2,878.1,4096,21.4,0,0.0,0.27,1.5,2,31.2,0.0,3.86,0.14,0,0,16,367,367,33988,0.33,,105227,28247,0,0,1953
2026-09-11T10:50:34Z,73,3,993.4,4096,24.3,0,0.0,0.25,3.7,1,36.6,0.0,18.83,0.18,0,0,22,420,420,33988,0.31,,104781,28103,0,0,8688
2026-09-11T10:50:39Z,78,3,1001.4,4096,24.4,0,0.0,0.23,1.9,1,39.2,0.0,5.32,0.17,0,0,22,426,426,33988,0.28,,104582,28021,0,0,2658
2026-09-11T10:50:44Z,83,3,1003.2,4096,24.5,0,0.0,0.37,1.6,1,41.3,0.0,3.62,0.14,0,0,22,436,436,33988,0.42,,104393,27970,0,0,1839
2026-09-11T10:50:50Z,88,3,1004.5,4096,24.5,0,0.0,0.42,2.0,1,44.0,0.0,5.20,0.18,0,0,18,445,445,33988,0.47,,104222,27923,0,0,2650
2026-09-11T10:50:55Z,94,4,1135.1,4096,27.7,0,0.0,0.55,4.4,1,50.7,0.0,21.06,0.23,0,0,24,500,500,33988,0.39,,103717,27784,0,0,9768
2026-09-11T10:51:00Z,99,4,1137.1,4096,27.8,0,0.0,0.58,2.3,1,53.8,0.0,6.08,0.22,0,0,24,505,506,33988,0.36,,103478,27685,0,0,3097
2026-09-11T10:51:05Z,104,4,1137.9,4096,27.8,0,0.0,0.86,2.2,1,56.6,0.0,5.47,0.19,0,0,24,503,503,33988,0.33,,103280,27612,0,0,2752
2026-09-11T10:51:11Z,109,4,1138.0,4096,27.8,0,0.0,0.95,2.4,1,59.7,0.0,5.84,0.22,0,0,19,498,498,33988,0.31,,103159,27522,0,0,2976
