cycle,tenants,channel,tenant,t_utc,procs,heap_used_pre_mb,heap_live_mb,heap_committed_mb,meta_used_mb,meta_committed_mb,rss_mb,pss_mb,rss_postgc_mb,pss_postgc_mb,threads,fds,host_avail_mb,swap_used_mb,gc_ms,gc_passes,heap_settled
-1,1,sb,swing:n491t2,2026-09-11T09:13:30Z,1,252.2,,280.0,99.1,100.1,525.1,518.1,525.2,518.2,202,274,28866.3,0.0,0,0,
-1,2,sb,swing:d8gteu,2026-09-11T09:13:52Z,1,200.7,,342.0,113.3,114.3,629.6,622.6,629.6,622.6,279,285,28719.3,0.0,0,0,
-1,3,sb,swing:tm40wv,2026-09-11T09:14:13Z,1,316.2,,440.0,127.4,128.6,765.5,758.5,765.5,758.5,364,292,28520.8,0.0,0,0,
-1,4,sb,swing:t74ue7,2026-09-11T09:14:34Z,1,507.5,,540.0,141.6,142.7,904.3,897.3,904.4,897.4,450,299,28265.0,0.0,0,0,
-1,5,sb,swing:q66f8t,2026-09-11T09:14:55Z,1,379.6,,640.0,155.7,156.9,1035.5,1028.5,1035.7,1028.6,503,306,27905.0,0.0,0,0,
-1,6,sb,swing:3c4756,2026-09-11T09:15:16Z,1,506.3,,748.0,169.8,171.1,1170.3,1163.3,1170.3,1163.3,534,313,27435.9,0.0,0,0,
-1,7,sb,swing:fm29ul,2026-09-11T09:15:37Z,1,673.3,,840.0,184.0,185.2,1291.2,1284.2,1291.2,1284.2,567,320,25983.2,0.0,0,0,
-1,8,sb,swing:45kh0p,2026-09-11T09:15:58Z,1,587.7,,924.0,198.1,199.4,1403.2,1396.2,1403.2,1396.2,601,327,26178.9,0.0,0,0,
-1,9,sb,swing:gfrnnk,2026-09-11T09:16:20Z,1,626.4,,1034.0,212.2,213.6,1542.7,1535.7,1542.7,1535.7,631,334,26541.0,0.0,0,0,
-1,10,sb,swing:8mjpjf,2026-09-11T09:16:41Z,1,827.3,,1108.0,226.4,227.9,1642.7,1635.7,1642.7,1635.7,665,341,26403.1,0.0,0,0,
-1,11,sb,swing:dhmyig,2026-09-11T09:17:02Z,1,930.0,,1208.0,240.5,242.0,1771.8,1764.8,1771.8,1764.8,699,348,26058.6,0.0,0,0,
-1,12,sb,swing:9o1gi3,2026-09-11T09:17:24Z,1,980.3,,1314.0,254.6,256.2,1906.0,1899.0,1906.0,1899.0,737,355,25417.4,0.0,0,0,
-1,13,sb,swing:paeg9h,2026-09-11T09:17:45Z,1,1309.9,,1404.0,268.8,270.4,2018.7,2011.7,2020.7,2013.8,765,362,24556.6,0.0,0,0,
-1,14,sb,swing:r9suvt,2026-09-11T09:18:07Z,1,1231.3,,1500.0,282.9,284.6,2145.8,2138.8,2145.8,2138.7,802,369,25845.8,0.0,0,0,
-1,15,sb,swing:cfbyoa,2026-09-11T09:18:29Z,1,1033.6,,1634.0,297.0,298.8,2309.3,2302.3,2309.3,2302.3,834,376,24389.8,0.0,0,0,
-1,16,sb,swing:ttkubo,2026-09-11T09:18:51Z,1,1037.5,,1698.0,311.1,312.9,2401.8,2394.8,2401.8,2394.8,872,383,25194.9,0.0,0,0,
