cycle,tenants,channel,tenant,t_utc,procs,heap_used_pre_mb,heap_live_mb,heap_committed_mb,meta_used_mb,meta_committed_mb,rss_mb,pss_mb,rss_postgc_mb,pss_postgc_mb,threads,fds,host_avail_mb,swap_used_mb,gc_ms,gc_passes,heap_settled
-1,1,sb,swing:ofdwrb,2026-09-11T10:49:49Z,1,255.8,,280.0,99.1,100.1,525.7,518.7,525.7,518.7,200,274,27620.6,0.0,0,0,
-1,2,sb,swing:lbv9bp,2026-09-11T10:50:09Z,1,196.7,,334.0,113.3,114.4,621.7,614.7,621.7,614.6,283,285,27509.1,0.0,0,0,
-1,3,sb,swing:c8fxsg,2026-09-11T10:50:31Z,1,290.7,,450.0,127.5,128.6,777.7,770.6,777.7,770.6,367,292,28223.9,0.0,0,0,
-1,4,sb,swing:aest5b,2026-09-11T10:50:52Z,1,482.4,,540.0,141.6,142.8,900.3,893.2,900.8,893.7,449,299,27905.8,0.0,0,0,
-1,5,sb,swing:n5n2s3,2026-09-11T10:51:13Z,1,404.1,,644.0,155.7,157.0,1031.1,1024.0,1031.1,1024.1,501,306,27480.6,0.0,0,0,
-1,6,sb,swing:brmbjh,2026-09-11T10:51:34Z,1,452.7,,710.0,169.9,171.1,1127.4,1120.4,1127.4,1120.4,533,313,27242.0,0.0,0,0,
-1,7,sb,swing:hvn6ez,2026-09-11T10:51:55Z,1,683.1,,834.0,184.0,185.4,1278.8,1271.8,1278.8,1271.8,564,320,25701.0,0.0,0,0,
-1,8,sb,swing:u69gsv,2026-09-11T10:52:16Z,1,547.7,,940.0,198.1,199.6,1416.2,1409.2,1416.2,1409.2,598,327,24595.3,0.0,0,0,
-1,9,sb,swing:2iwdyl,2026-09-11T10:52:38Z,1,800.3,,1004.0,212.2,213.8,1504.3,1497.3,1504.3,1497.2,633,334,26252.5,0.0,0,0,
-1,10,sb,swing:y3scgt,2026-09-11T10:52:59Z,1,696.6,,1134.0,226.4,227.9,1664.1,1657.1,1664.1,1657.1,662,341,24193.2,0.0,0,0,
-1,11,sb,swing:52vilt,2026-09-11T10:53:20Z,1,886.0,,1214.0,240.5,242.1,1772.8,1765.8,1772.8,1765.8,695,348,26660.8,0.0,0,0,
