t_utc,elapsed_s,tenants,cg_mem_mb,cg_mem_max_mb,cg_mem_pct,cg_oom_kills,cg_swap_mb,load1,cpu_pct,runq,cg_cpu_s,cg_throttled_s,tx_mbps,rx_mbps,sendq_kb,sendq_max_kb,estab_conns,threads,pids,cg_pids_max,peer_load1,peer_cpu_pct,peer_mem_avail_mb,host_avail_mb,host_swap_mb,tcp_retrans_d,tcp_outsegs_d
2026-09-11T08:07:26Z,5,0,398.5,4096,9.7,0,0.0,5.88,0.3,1,4.7,0.0,0.07,0.06,0,0,0,72,72,33988,1.85,,107616,29070,0,0,147
2026-09-11T08:07:31Z,10,0,574.1,4096,14.0,0,0.0,5.49,2.9,1,9.4,0.0,16.04,0.08,0,0,7,161,161,33988,1.70,,107031,28944,0,0,7297
2026-09-11T08:07:36Z,15,0,579.5,4096,14.1,0,0.0,5.13,0.5,1,10.0,0.0,0.92,0.04,0,0,7,172,172,33988,1.57,,107007,28948,0,0,474
2026-09-11T08:07:42Z,21,0,583.1,4096,14.2,0,0.0,4.72,0.6,1,10.8,0.0,1.18,0.06,0,0,7,188,188,33988,1.44,,106953,28943,0,0,616
2026-09-11T08:07:47Z,26,0,585.5,4096,14.3,0,0.0,4.34,0.6,1,11.7,0.0,1.54,0.04,0,0,7,195,195,33988,1.32,,106924,28948,0,0,773
2026-09-11T08:07:52Z,31,1,745.9,4096,18.2,0,0.0,4.07,3.0,1,16.2,0.0,16.80,0.12,0,0,14,249,249,33988,1.22,,106609,28749,0,0,7725
2026-09-11T08:07:57Z,36,1,766.3,4096,18.7,0,0.0,3.75,1.0,1,17.5,0.0,2.39,0.08,0,0,14,255,255,33988,1.12,,106543,28724,0,0,1212
2026-09-11T08:08:03Z,42,1,773.0,4096,18.9,0,0.0,3.45,0.9,3,18.6,0.0,1.76,0.09,0,0,14,264,264,33988,1.11,,106415,28720,0,0,937
2026-09-11T08:08:08Z,47,1,776.2,4096,19.0,0,0.0,3.17,0.9,1,20.0,0.0,2.72,0.09,0,0,14,270,270,33988,1.02,,106302,28713,0,0,1361
2026-09-11T08:08:13Z,52,2,871.8,4096,21.3,0,0.0,3.16,3.2,1,24.8,0.0,18.17,0.17,0,0,20,330,330,33988,1.01,,105843,28629,0,0,8413
2026-09-11T08:08:18Z,57,2,882.3,4096,21.5,0,0.0,2.90,1.3,1,26.8,0.0,3.70,0.12,0,0,20,343,343,33988,0.93,,105719,28608,0,0,1863
2026-09-11T08:08:23Z,62,2,884.4,4096,21.6,0,0.0,2.67,1.2,1,28.4,0.0,2.66,0.12,0,0,20,350,350,33988,0.86,,105575,28591,0,0,1373
2026-09-11T08:08:29Z,68,2,887.3,4096,21.7,0,0.0,2.46,1.2,2,30.1,0.0,3.68,0.15,0,0,16,360,360,33988,0.79,,105381,28549,0,0,1863
2026-09-11T08:08:34Z,73,3,998.0,4096,24.4,0,0.0,2.34,3.7,1,35.7,0.0,19.24,0.20,0,0,22,416,416,33988,0.72,,104885,28442,0,0,8871
2026-09-11T08:08:39Z,78,3,1002.2,4096,24.5,0,0.0,2.23,1.7,1,38.1,0.0,5.02,0.17,0,0,22,425,425,33988,0.66,,104667,28358,0,0,2525
2026-09-11T08:08:44Z,83,3,1005.4,4096,24.5,0,0.0,2.05,1.6,3,40.3,0.0,3.94,0.15,0,0,22,445,445,33988,0.61,,104479,28307,0,0,1995
2026-09-11T08:08:49Z,89,3,1005.0,4096,24.5,0,0.0,2.05,1.8,1,42.8,0.0,5.15,0.17,0,0,22,452,452,33988,0.64,,104279,28255,0,0,2601
2026-09-11T08:08:55Z,94,4,1166.8,4096,28.5,0,0.0,1.88,4.0,1,48.9,0.0,20.80,0.25,0,0,24,510,510,33988,0.59,,103770,28075,0,0,9664
