cycle,tenants,channel,tenant,t_utc,procs,heap_used_pre_mb,heap_live_mb,heap_committed_mb,meta_used_mb,meta_committed_mb,rss_mb,pss_mb,rss_postgc_mb,pss_postgc_mb,threads,fds,host_avail_mb,swap_used_mb,gc_ms,gc_passes,heap_settled
-1,1,sb,swing:92st87,2026-09-10T12:03:49Z,1,166.1,,268.0,99.1,100.1,512.3,505.3,512.7,505.7,201,274,28359.7,0.0,0,0,
-1,2,sb,swing:htould,2026-09-10T12:04:10Z,1,185.3,,322.0,113.3,114.3,609.8,602.9,609.9,602.9,283,285,28224.8,0.0,0,0,
-1,3,sb,swing:yi1a97,2026-09-10T12:04:32Z,1,266.8,,418.0,127.4,128.6,742.8,735.9,742.8,735.9,363,292,27995.8,0.0,0,0,
-1,4,sb,swing:40izkn,2026-09-10T12:04:53Z,1,390.4,,518.0,141.6,142.7,874.4,867.5,874.4,867.5,443,299,27665.7,0.0,0,0,
-1,5,sb,swing:i6vmn5,2026-09-10T12:05:14Z,1,540.4,,614.0,155.7,156.9,1002.3,995.3,1002.3,995.3,501,306,27417.6,0.0,0,0,
-1,6,sb,swing:1lstxo,2026-09-10T12:05:35Z,1,500.5,,744.0,169.8,171.1,1162.3,1155.4,1162.3,1155.4,533,313,26889.6,0.0,0,0,
-1,7,sb,swing:i2s2tj,2026-09-10T12:05:56Z,1,708.6,,838.0,184.0,185.2,1286.8,1279.8,1286.8,1279.9,568,320,25418.0,0.0,0,0,
-1,8,sb,swing:jqz7i9,2026-09-10T12:06:17Z,1,548.5,,940.0,198.1,199.5,1417.6,1410.6,1417.6,1410.6,598,327,25510.9,0.0,0,0,
-1,9,sb,swing:z2gvuk,2026-09-10T12:06:39Z,1,716.1,,1008.0,212.2,213.6,1515.2,1508.2,1515.2,1508.2,636,334,25500.7,0.0,0,0,
-1,10,sb,swing:s9ok23,2026-09-10T12:07:00Z,1,739.4,,1134.0,226.4,227.9,1668.1,1661.1,1668.1,1661.1,667,341,25212.5,0.0,0,0,
-1,11,sb,swing:ujh435,2026-09-10T12:07:21Z,1,923.7,,1204.0,240.5,242.1,1765.6,1758.7,1765.6,1758.7,701,348,24858.0,0.0,0,0,
-1,12,sb,swing:kwb8lx,2026-09-10T12:07:43Z,1,1022.1,,1304.0,254.6,256.2,1892.0,1885.1,1892.0,1885.1,734,355,26078.6,0.0,0,0,
-1,13,sb,swing:l70p1c,2026-09-10T12:08:04Z,1,935.7,,1418.0,268.8,270.4,2033.4,2026.4,2033.7,2026.8,769,362,25120.3,0.0,0,0,
-1,14,sb,swing:d5uzsl,2026-09-10T12:08:26Z,1,1207.1,,1514.0,282.9,284.6,2154.7,2147.8,2154.7,2147.8,800,369,25802.4,0.0,0,0,
-1,15,sb,swing:141a0s,2026-09-10T12:08:48Z,1,1348.1,,1634.0,297.0,298.8,2305.0,2298.1,2305.0,2298.1,836,376,24472.9,0.0,0,0,
-1,16,sb,swing:gjsrkj,2026-09-10T12:09:10Z,1,1597.8,,1698.0,311.1,312.9,2398.2,2391.2,2398.2,2391.2,867,383,25049.8,0.0,0,0,
-1,17,sb,swing:llr5l7,2026-09-10T12:09:32Z,1,1227.0,,1804.0,325.3,327.2,2533.4,2526.4,2533.4,2526.4,905,390,25109.1,0.0,0,0,
-1,18,sb,swing:zcdsxf,2026-09-10T12:09:55Z,1,1642.0,,1898.0,339.4,341.4,2657.7,2650.8,2657.7,2650.8,938,397,25106.2,0.0,0,0,
-1,19,sb,swing:02ykpi,2026-09-10T12:10:16Z,1,1358.0,,1994.0,353.5,355.6,2779.4,2772.5,2779.4,2772.5,970,404,24816.5,0.0,0,0,
-1,20,sb,swing:zkuaqo,2026-09-10T12:10:39Z,1,1894.3,,2090.0,367.6,369.8,2904.1,2897.2,2904.1,2897.2,1004,411,24096.9,0.0,0,0,
-1,21,sb,swing:1vojki,2026-09-10T12:11:02Z,1,1811.1,,2190.0,381.8,383.9,3026.6,3019.6,3026.6,3019.6,1037,418,24810.4,0.0,0,0,
-1,22,sb,swing:zu1opt,2026-09-10T12:11:25Z,1,1486.7,,2290.0,395.9,398.1,3152.9,3146.0,3152.9,3146.0,1070,425,24030.3,0.0,0,0,
-1,23,sb,swing:w3zvke,2026-09-10T12:11:48Z,1,1515.5,,2394.0,410.0,412.3,3282.3,3275.3,3282.3,3275.3,1102,432,24173.7,0.0,0,0,
-1,24,sb,swing:1jteoi,2026-09-10T12:12:11Z,1,1589.7,,2488.0,424.1,426.5,3399.6,3392.7,3399.6,3392.7,1135,438,24371.6,0.0,0,0,
-1,25,sb,swing:ag8p0r,2026-09-10T12:12:33Z,1,2191.2,,2500.0,438.3,440.7,3431.8,3424.9,3431.8,3424.9,1167,446,24253.6,0.0,0,0,
-1,26,sb,swing:cdnhg4,2026-09-10T12:12:58Z,1,1800.2,,2500.0,452.4,454.9,3451.5,3444.5,3451.5,3444.6,1199,453,23940.5,0.0,0,0,
-1,27,sb,swing:zrllj3,2026-09-10T12:13:21Z,1,1745.1,,2500.0,466.6,469.1,3471.3,3464.4,3471.3,3464.4,1231,460,23328.4,0.0,0,0,
-1,28,sb,swing:7w7pwv,2026-09-10T12:13:46Z,1,2271.4,,2500.0,480.7,483.3,3491.6,3484.7,3491.6,3484.7,1264,467,23817.4,0.0,0,0,
-1,29,sb,swing:el7cc8,2026-09-10T12:14:11Z,1,2271.5,,2500.0,494.8,497.4,3511.9,3504.9,3511.9,3505.0,1296,474,24186.3,0.0,0,0,
-1,30,sb,swing:tbxr2x,2026-09-10T12:14:35Z,1,2178.8,,2500.0,508.7,511.6,3532.2,3525.2,3532.2,3525.2,1328,481,23989.7,0.0,0,0,
-1,31,sb,swing:zjidso,2026-09-10T12:15:01Z,1,1990.0,,2500.0,522.6,525.1,3552.4,3545.4,3552.4,3545.4,1360,488,23567.5,0.0,0,0,
-1,32,sb,swing:3c6c1a,2026-09-10T12:15:28Z,1,2112.0,,2500.0,536.5,539.0,3572.5,3565.6,3572.5,3565.6,1392,495,23921.3,0.0,0,0,
-1,33,sb,swing:zf9wzy,2026-09-10T12:15:54Z,1,2345.3,,2500.0,550.4,552.9,3593.7,3586.7,3593.7,3586.7,1427,502,23187.1,0.0,0,0,
-1,34,sb,swing:2fg71c,2026-09-10T12:16:23Z,1,2251.6,,2500.0,564.3,566.6,3614.1,3607.2,3614.1,3607.2,1462,509,23897.6,0.0,0,0,
